Id_Equipament,Nom_Equipament,Tipus_Equipament,Te_Subseus,Id_Seu_Principal,Es_subseu_de,Es_seu_principal,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Titularitat,Entitat,Notes_Equipament,Latitud,Longitud
429,Centre Cívic Can Clariana Cultural,Centres cívics,NO,,,1,09,Sant Andreu,62,el Congrés i els Indians,Ajuntament de Barcelona,Assoc. de Veins del Barri del Congrés-Indians,,41.4275181,2.178412
268,Centre Cívic Can Deu,Centres cívics,NO,,,1,04,Les Corts,19,les Corts,Ajuntament de Barcelona,Club Lleuresport,,41.386760961,2.132502076
297,Centre Cívic Can Felipa,Centres cívics,NO,,,1,10,Sant Martí,68,el Poblenou,Ajuntament de Barcelona,PROGESS,,41.404013272,2.201386526
288,Centre Cívic Can Verdaguer,Centres cívics,NO,,,1,08,Nou Barris,45,Porta,Ajuntament de Barcelona,Club Lleuresport,,41.433977414,2.179080278
256,Centre Cívic Casa Golferichs,Centres cívics,NO,,,1,02,Eixample,09,la Nova Esquerra de l'Eixample,Ajuntament de Barcelona,Calaix de Cultura,,41.380813341,2.156392101
282,Centre Cívic Casa Groga,Centres cívics,NO,,,1,07,Horta-Guinardó,39,Sant Genís dels Agudells,Ajuntament de Barcelona,QSL Serveis Culturals,,41.42686342,2.137450112
273,Centre Cívic Casa Orlandai,Centres cívics,NO,,,1,05,Sarrià-Sant Gervasi,23,Sarrià,Ajuntament de Barcelona,Assoc. Cultural Casa Orlandai,,41.398330273,2.124656447
261,Centre Cívic Casa del Rellotge,Centres cívics,NO,,,1,03,Sants-Montjuïc,13,la Marina de Port,Ajuntament de Barcelona,Unió d'Entitats de la Marina,,41.357544067,2.141389922
262,Centre Cívic Casinet d'Hostafrancs,Centres cívics,NO,,,1,03,Sants-Montjuïc,15,Hostafrancs,Ajuntament de Barcelona,"Secretariat d'Entitats de Sants, Hostafrancs i la Bordeta",,41.377824558,2.143204273
252,Centre Cívic Convent de Sant Agustí,Centres cívics,NO,,,1,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",Ajuntament de Barcelona,Trànsit Projectes,,41.387391384,2.181711349
