Any,Ambit,Titularitat,Tipus,Edicio,NomDelFestival,DataInici,DataFi,Assistents_a_Barcelona,Assistents_fora_de_Barcelona,Espai,Organitzador,Notes_Dades
2024,Audiovisuals,Titularitat privada,Festivals,6,La GRAN Pantalla,07/05/2024,22/10/2024,3165,495,"Cinemes Girona, Zumzeig Cinema, Cinemes Verdi, CC Pati Llimona, Espai de Gent Gran Montserrat Olivella, Institut Montserrat, ECIB, CC Fort Pienc i Sala Polivalent de Montbau",Assoc. Cultural elParlante,
2024,Música,Titularitat privada,Festivals,8,Ameba Parkfest,11/05/2024,11/05/2024,12500,4000,Parc de l'Estació del Nord,Resident Advisor Limited,
2024,Música,Titularitat privada,Festivals,31,Sónar. Festival Internacional de Música Avançada i Art Multimèdia,12/05/2024,15/06/2024,114366,,Fira de Barcelona Montjuïc i Fira de Barcelona Gran Via,Advanced Music,
2024,Música,Titularitat privada,Festivals,4,Raval Sessions,13/05/2024,17/05/2024,725,,Diversos espais de la ciutat,Fund. Privada Taller de Músics,
2024,Lletres,Ajuntament de Barcelona,Festivals,27,Barcelona Poesia,15/05/2024,22/05/2024,5401,,Diversos espais de la ciutat,Institut de Cultura. Ajuntament de Barcelona,
2024,Música,Titularitat privada,Festivals,,La Pedrera Jazz,16/05/2024,26/07/2024,4504,,La Pedrera,Fund. Catalunya - La Pedrera,
2024,Multidisciplinaris i altres,Consorci o fundació amb presència administracions públiques,Festivals,2,Anti-Gutter,18/05/2024,18/05/2024,4385,,Centre de Cultura Contemporània de Barcelona. CCCB,CCCB,
2024,Lletres,Ajuntament de Barcelona,Festivals,2,Il·luLola. Festival dil·lustració infantil i juvenil,24/05/2024,25/05/2024,1975,,"CC Urgell, Pati d'interior d'illa Ermessenda de Carcassona",Centre Cívic Urgell,
2024,Lletres,Titularitat privada,Fires,10,Literal,24/05/2024,26/05/2024,18000,,Fabra i Coats Fàbrica de creació,KULT (Cultura21 SCCL),
2024,Multidisciplinaris i altres,Ajuntament de Barcelona,Festivals,4,Moujuïc,25/05/2024,26/05/2024,271,,Diversos espais de la ciutat,Institut de Cultura. Ajuntament de Barcelona,
2024,Música,Titularitat privada,Festivals,22,Primavera Sound,27/05/2024,02/06/2024,297000,,Diversos espais de la ciutat,Primavera Sound,
2024,Arts escèniques,Titularitat privada,Festivals,10,L'Altre Festival,31/05/2024,02/06/2024,4132,,Fabra i Coats Fàbrica de creació i Seu uTOpia Barcelona,Assoc. Socio Cultural l'Altre Festival,
2024,Arts visuals,Titularitat privada,Fires,11,Art Photo BCN,06/06/2024,09/06/2024,,,Disseny Hub Barcelona,Maria Isabel Lazaro Garcia,
2024,Arts escèniques,Titularitat privada,Festivals,2,Festival Sacseigs,06/06/2024,09/06/2024,1665,,Teatre del Raval i La Model,uTOpia Barcelona,
2024,Audiovisuals,Titularitat privada,Festivals,29,Mostra FIRE!! de cinema LGTBI de Barcelona,06/06/2024,16/06/2024,6020,189,Diversos espais de la ciutat,Casal Lambda,
2024,Audiovisuals,Titularitat privada,Festivals,7,Wallay! Festival de Cinema Africà de Barcelona,06/06/2024,16/06/2024,,,Filmoteca de Catalunya i Institut Francès de Barcelona,Catalunya Film Festivals,
2024,Arts escèniques,Titularitat privada,Festivals,7,Festival Pindoles,07/06/2024,08/06/2024,425,,Castell de Montjuïc,Cultura Tangent,
2024,Audiovisuals,Titularitat privada,Festivals,,Mostra de Curtmetratges Dr. Mabuse,07/06/2024,09/09/2024,,,Diversos espais de la ciutat,La Jarra Azul,
2024,Música,Titularitat privada,Festivals,14,SIMFONIC,07/06/2024,08/06/2024,5300,8200,Diversos espais de la ciutat,Assoc. SIMFONIC,
2024,Música,Titularitat privada,Festivals,6,Share Festival,07/06/2024,09/06/2024,49000,,Parc del Fòrum,EventoXtra,
2024,Audiovisuals,Mixta,Festivals,2,RAIN Film Festival,11/06/2024,14/06/2024,3000,,Campus del Poble Nou de la Universitat Pompeu Fabra i Fira de Barcelona,Universitat Pompeu Fabra,
2024,Música,Titularitat privada,Festivals,7,Off Sónar,13/06/2024,16/06/2024,30226,,Poble Espanyol i Nobu Barcelona,Centris Events,
2024,Arts escèniques,Ajuntament de Barcelona,Festivals,25,Circorts,14/06/2024,16/06/2024,8284,,Barri de Les Corts,Districte de les Corts. Ajuntament de Barcelona,
2024,Multidisciplinaris i altres,Titularitat privada,Festivals,10,Festival Matsuri,15/06/2024,16/06/2024,40000,,Moll de la Fusta,Assoc. de Cultura Japonesa,
2024,Lletres,Ajuntament de Barcelona,Festivals,19,Món Llibre,15/06/2024,16/06/2024,10250,,Diversos espais de la ciutat,Institut de Cultura. Ajuntament de Barcelona,
2024,Música,Titularitat privada,Festivals,12,Festival Talent,16/06/2024,27/09/2024,879,27,Diversos espais de la ciutat,Fund. Privada Taller de Músics,
2024,Lletres,Mixta,Festivals,3,KMAmèrica. Festival de Literatura Llatinoamericana de Barcelona,18/06/2024,22/06/2024,1621,,"Biblioteca Gabriel García Márquez, Casa Amèrica Catalunya i Biblioteca Francesca Bonnemaison",Casa Amèrica Catalunya i Biblioteques de Barcelona,
2024,Multidisciplinaris i altres,Ajuntament de Barcelona,Festivals,19,Festival d'estiu LLIMONADES,20/06/2024,19/07/2024,1055,,Barri Gòtic,Centre Cívic Pati Llimona. Ajuntament de Barcelona,
2024,Música,Titularitat privada,Festivals,2,Alma Festival Barcelona,24/06/2024,21/07/2024,65000,,Poble Espanyol,Concert Studio,
2024,Audiovisuals,Ajuntament de Barcelona,Festivals,12,Pantalla Barcelona,25/06/2024,25/07/2024,5695,,Xarxa de centres cívics,Institut de Cultura. Ajuntament de Barcelona,
2024,Multidisciplinaris i altres,Ajuntament de Barcelona,Festivals,48,Grec Festival de Barcelona,26/06/2024,04/08/2024,127521,,Diversos espais de la ciutat,Institut de Cultura. Ajuntament de Barcelona,
2024,Arts visuals,Titularitat privada,Festivals,5,International Festival on Experimental Photography,27/06/2024,11/09/2024,8322,,CC Pati Llimona i Institut d'Estudis Fotogràfics de Catalunya,Assoc. Experimentalphotofestival,
