Any,Ambit,Titularitat,Tipus,Edicio,NomDelFestival,DataInici,DataFi,Assistents_a_Barcelona,Assistents_fora_de_Barcelona,Espai,Organitzador,Notes_Dades
2024,Arts visuals,Titularitat privada,Festivals,15,48H Open House BCN,26/10/2024,27/10/2024,57018,11985,Diversos espais de la ciutat,Assoc. 48h Open House Barcelona,
2024,Música,Titularitat privada,Festivals,8,Hivernacle Pop Up Club Barcelona,26/10/2024,23/11/2024,12458,,Poble Espanyol i Parc del Fòrum,Centris Events,
2024,Audiovisuals,Titularitat privada,Festivals,31,SUNCINE. Festival internacional de cine del medio ambiente,01/11/2024,23/11/2024,,,Cinemes Girona i l¿Institut Francès,ACCIONS 3E,
2024,Arts escèniques,Titularitat privada,Festivals,10,Festival IF Barcelona,02/11/2024,30/11/2024,2040,510,Diversos espais de la ciutat,Associació Interseccions,
2024,Música,Ajuntament de Barcelona,Festivals,10,(In)fusión Flamenca. Cicle de Flamenc al Besòs,04/11/2024,02/12/2024,,,,Centre Cívic Besòs. Ajuntament de Barcelona,
2024,Audiovisuals,Titularitat privada,Festivals,8,DART- Festival de Cinema Documental ,04/11/2024,01/12/2024,3860,,Diversos espais de la ciutat,Associació Cultural Dart,
2024,Lletres,Titularitat privada,Festivals,8,La setmana de l'àlbum,04/11/2024,17/11/2024,,,Diversos espais de la ciutat,Asoc. de Editores de Libros Álbum,
2024,Multidisciplinaris i altres,Titularitat privada,Festivals,13,MIRA,04/11/2024,10/11/2024,12000,,Diversos espais de la ciutat,Associació Cultural Mira,
2024,Multidisciplinaris i altres,Titularitat privada,Festivals,22,Festival de Cultura Raval(s),07/11/2024,10/11/2024,4000,,Barri del Raval,Fundació Tot Raval,
2024,Audiovisuals,Titularitat privada,Festivals,18,Mostra de cinema àrab I mediterrani de Catalunya,07/11/2024,17/11/2024,1609,,Diversos espais de la ciutat,SODEPAU,
2024,Arts escèniques,Titularitat privada,Festivals,8,RBLS Festival Teatre Jove ,08/11/2024,23/11/2024,,,,Assoc. LONESTAR CULTURA,
2024,Audiovisuals,Titularitat privada,Festivals,17,El Meu Primer Festival,09/11/2024,23/11/2024,11079,13953,Diversos espais de la ciutat,Associació Cultural Modiband,
2024,Arts escèniques,Titularitat privada,Festivals,,Festival elPetit,09/11/2024,24/11/2024,,,,Rialles Espectacles Infantils i Juvenils,
2024,Arts visuals,Titularitat privada,Festivals,22,Loop Festival,11/11/2024,23/11/2024,13780,400,Diversos espais de la ciutat,Screen Projects,
2024,Audiovisuals,Titularitat privada,Festivals,31,L'Alternativa. Festival de Cinema Independent de Barcelona,14/11/2024,24/11/2024,12840,160,Diversos espais de la ciutat,La Fàbrica de Cinema Alternatiu,
2024,Música,Mixta,Festivals,15,Say it Loud,14/11/2024,16/11/2024,,,Paral·lel 62,"Quesoni, Serveis Integrals per l'Espectacle",
2024,Lletres,Titularitat privada,Fires,15,Arts Libris Barcelona,15/11/2024,17/11/2024,,,Diversos espais de la ciutat,Raíña Lupa Produccions,
2024,Multidisciplinaris i altres,Ajuntament de Barcelona,Festivals,13,DAU Barcelona,15/11/2024,17/11/2024,35000,,Fabra i Coats Fàbrica de creació,Institut de Cultura. Ajuntament de Barcelona,
2024,Audiovisuals,Altres administracions públiques,Festivals,21,Mostra de cinema espiritual de Catalunya,15/11/2024,30/11/2024,,,Filmoteca de Catalunya,Direcció General d'Afers Religiosos. Departament de Justícia. Generalitat de Catalunya,
2024,Multidisciplinaris i altres,Titularitat privada,Festivals,11,INFLUX Festival. Vídeo a Escena,18/11/2024,24/11/2024,,,Antic Teatre,Habitual Video Team,
2024,Arts visuals,Titularitat privada,Fires,22,Loop Fair,18/11/2024,22/11/2024,4100,80,Diversos espais de la ciutat,Screen Projects,
2024,Multidisciplinaris i altres,Ajuntament de Barcelona,Festivals,,Recorreguts Sonors: Accions i Mutacions Sonores,18/11/2024,23/11/2024,,,Centre de Cultura Contemporània de Barcelona. CCCB,,
2024,Arts visuals,Titularitat privada,Festivals,28,Drap-Art. Festival Internacional de Reciclatge Artístic de Catalunya,21/11/2024,21/12/2024,10748,,Diversos espais de la ciutat,Associació Drap-Art,
2024,Audiovisuals,Mixta,Festivals,36,Marató de Cinema Fantàstic i de Terror de Sants,21/11/2024,23/11/2024,758,,CC Cotxeres de Sants,"Secretariat d'Entitats de Sants, Hostafrancs i la Bordeta",
2024,Arts escèniques,Titularitat privada,Festivals,15,Màgicus. Festival de Màgia Jove de Barcelona,21/11/2024,25/11/2024,488,,Lluïsos de Gràcia,Lluïsos de Gràcia,
2024,Multidisciplinaris i altres,Titularitat privada,Festivals,6,Festival Dona Crea - Crea Mujer,22/11/2024,13/12/2024,250,,CC Besós i Ateneu Horta,Mercè Espelleta i Imma Manresa,
2024,Audiovisuals,Titularitat privada,Festivals,12,Festival Inclús,26/11/2024,03/12/2024,,,CaixaForum i Cinemes Girona,Associació Inclús,
2024,Audiovisuals,Titularitat privada,Festivals,6,Ohlalà!,27/11/2024,03/12/2024,,,Institut Francès de Barcelona i Filmoteca de Catalunya,Oh La Là Associació Cultural,
2024,Multidisciplinaris i altres,Consorci o fundació amb presència administracions públiques,Festivals,3,Bivac,28/11/2024,28/11/2024,441,,Centre de Cultura Contemporània de Barcelona. CCCB,CCCB,
2024,Multidisciplinaris i altres,Titularitat privada,Festivals,11,Poblenou Open Night,29/11/2024,29/11/2024,,,Diversos espais de la ciutat,Poblenou Urban District,
2024,Audiovisuals,Mixta,Festivals,30,Festival Miniput,30/11/2024,30/11/2024,,,,Diverses entitats,
2024,Lletres,Titularitat privada,Festivals,11,Festival Sant Jordi de Nadal,30/11/2024,30/11/2024,4000,,Antiga Fàbrica Estrella Damm,TRESC,
2024,Música,Titularitat privada,Festivals,6,Ombra Festival,03/12/2024,08/12/2024,6200,2000,Diversos espais de la ciutat,Ombra Festival,
2024,Lletres,Titularitat privada,Fires,30,Manga Barcelona,05/12/2024,08/12/2024,167000,,Fira de Barcelona Gran Via,Fed. d'Institucions Professionals del Còmic - FICOMIC,
2024,Audiovisuals,Titularitat privada,Festivals,7,Reteena,06/12/2024,15/12/2024,,,Associació El Borsí,Associació Reteena Audiovisual,
2024,Audiovisuals,Titularitat privada,Festivals,21,Festival de Cinema i Drets Humans de Barcelona,09/12/2024,13/12/2024,,,,Ass. Derechos en Acción,
2024,Arts escèniques,Titularitat privada,Festivals,8,Africa Moment,11/12/2024,15/12/2024,,,Diversos espais de la ciutat,Associació Africa Moment,
2024,Audiovisuals,Titularitat privada,Festivals,13,Mostra de Cinema Italià de Barcelona. MCIB,13/12/2024,18/12/2024,,,Cinemes Verdi,Istituto Luce Cinecittà,
2024,Multidisciplinaris i altres,Ajuntament de Barcelona,Festivals,5,Barcelona Festival de Nadal,20/12/2024,30/12/2024,300000,,Plaça Catalunya,Institut de Cultura. Ajuntament de Barcelona,
